source,source_name,target,target_name,cluster,coef_mean,coef_abs,p,-logp,network,TF_target,cell_wall_related_gene
AT5G15150,HAT7,AT2G30930,AT2G30930,Elongation_Cortex_BRZ_4_BL,-0.008396936,0.008396936,1.5866637778822649e-9,8.799515092703539,Cortex,AT5G15150_AT2G30930,FALSE
AT1G69780,ATHB-13,AT5G54160,OMT1,Elongation_Cortex_BRZ_8_BL,-0.008396326,0.008396326,1.970981819116327e-14,13.705317381754993,Cortex,AT1G69780_AT5G54160,FALSE
AT5G15150,HAT7,AT1G57620,CYB,Elongation_Cortex_BRZ,0.008396009,0.008396009,6.4608049723254146e-18,17.189713368497248,Cortex,AT5G15150_AT1G57620,FALSE
AT1G26960,ATHB-23,AT3G52090,NRPB11,Elongation_Cortex_BRZ_2_BL,-0.008390715,0.008390715,3.53230672094676e-5,4.4519415923450065,Cortex,AT1G26960_AT3G52090,FALSE
AT1G33240,AT-GTL1,AT2G34660,ABCC2,Elongation_Cortex_BRZ_1_BL,0.008390238,0.008390238,4.463353219210617e-11,10.350338742761977,Cortex,AT1G33240_AT2G34660,FALSE
AT1G69780,ATHB-13,AT4G35410,AAP19-2,Elongation_Cortex_BRZ_2_BL,0.008389674,0.008389674,5.172992970242865e-7,6.286258111768147,Cortex,AT1G69780_AT4G35410,FALSE
AT1G33240,AT-GTL1,AT1G66280,BGLU22,Elongation_Cortex_BRZ,-0.00838822,0.00838822,1.3156807293715833e-14,13.88084948632579,Cortex,AT1G33240_AT1G66280,FALSE
AT5G15150,HAT7,AT2G31680,RABA5D,Elongation_Cortex_BRZ_4_BL,0.008387051,0.008387051,4.562390238514586e-12,11.34080757061894,Cortex,AT5G15150_AT2G31680,FALSE
AT5G15150,HAT7,AT1G71950,AT1G71950,Elongation_Cortex_BRZ_2_BL,-0.008385818,0.008385818,6.736920861894597e-13,12.171538554242149,Cortex,AT5G15150_AT1G71950,FALSE
AT3G01220,ATHB-20,AT2G22470,AGP2,Elongation_Cortex_BRZ_8_BL,0.008384582,0.008384582,5.140024310905733e-14,13.28903482690604,Cortex,AT3G01220_AT2G22470,FALSE
AT1G26960,ATHB-23,AT4G23870,AT4G23870,Elongation_Cortex_BRZ_2_BL,0.008382802,0.008382802,3.519934066945869e-11,10.45346547135987,Cortex,AT1G26960_AT4G23870,FALSE
AT1G26960,ATHB-23,AT3G45070,AT3G45070,Elongation_Cortex_BRZ_1_BL,-0.008381945,0.008381945,5.825379730374363e-19,18.234675759670004,Cortex,AT1G26960_AT3G45070,FALSE
AT5G15150,HAT7,AT4G10360,AT4G10360,Elongation_Cortex_BRZ_4_BL,-0.008379657,0.008379657,2.8791647991818154e-13,12.540733476029551,Cortex,AT5G15150_AT4G10360,FALSE
AT1G26960,ATHB-23,AT1G66270,BGLU21,Elongation_Cortex_BRZ_4_BL,-0.008376949,0.008376949,2.5246350384870233e-13,12.597801394664957,Cortex,AT1G26960_AT1G66270,FALSE
AT1G33240,AT-GTL1,AT5G42320,AT5G42320,Elongation_Cortex_BRZ_0_5_BL,0.008369997,0.008369997,1.8955155444291544e-11,10.722272649732865,Cortex,AT1G33240_AT5G42320,FALSE
AT1G33240,AT-GTL1,AT1G55330,AGP21,Elongation_Cortex_BRZ,0.008368115,0.008368115,1.2662887584205659e-8,7.897467248592712,Cortex,AT1G33240_AT1G55330,FALSE
AT1G26960,ATHB-23,AT3G01220,ATHB-20,Elongation_Cortex_BRZ_1_BL,0.008366169,0.008366169,2.8201916218951856e-19,18.549721381927316,Cortex,AT1G26960_AT3G01220,FALSE
