regulator,regulator site,interaction,target,target site,Time,Type,Pearson,Spearman,Weight
AT5G63090,,regulates,AT1G80810,,4hr,TF-Abundance,,,0.663917455
AT5G63090,,regulates,AT2G35630,,4hr,TF-Abundance,,,0.656773911
AT5G63090,,regulates,AT3G30841,,4hr,TF-Abundance,,,0.668017007
AT5G63090,,regulates,AT4G22260,,4hr,TF-Abundance,,,0.64481038
AT5G63090,,regulates,AT5G20610,,4hr,TF-Abundance,,,0.662021042
AT5G63090,,regulates,AT5G47390,,4hr,TF-Abundance,,,0.648754008
AT5G63790,,regulates,AT3G60690,,4hr,TF-Abundance,,,0.841717256
AT5G63790,,regulates,AT4G01870,,4hr,TF-Abundance,,,0.759660154
AT5G65310,,regulates,AT1G03230,,4hr,TF-Abundance,,,0.69694367
AT5G65310,,regulates,AT1G76240,,4hr,TF-Abundance,,,0.801533388
AT5G65310,,regulates,AT1G77760,,4hr,TF-Abundance,,,0.856657881
AT5G65310,,regulates,AT2G40475,,4hr,TF-Abundance,,,0.760628235
AT5G65310,,regulates,AT3G06270,,4hr,TF-Abundance,,,0.775011036
AT5G65310,,regulates,AT3G15210,,4hr,TF-Abundance,,,0.881994165
AT5G65310,,regulates,AT3G25717,,4hr,TF-Abundance,,,0.684844765
AT5G65310,,regulates,AT4G34220,,4hr,TF-Abundance,,,0.654914398
AT5G65310,,regulates,AT5G10510,,4hr,TF-Abundance,,,0.809262974
AT5G65670,,regulates,AT1G17720,,4hr,TF-Abundance,,,0.640512634
AT5G65670,,regulates,AT1G21830,,4hr,TF-Abundance,,,0.665535622
AT5G65670,,regulates,AT1G31730,,4hr,TF-Abundance,,,0.602765189
AT5G65670,,regulates,AT1G63840,,4hr,TF-Abundance,,,0.671374116
AT5G65670,,regulates,AT1G65295,,4hr,TF-Abundance,,,0.762126512
AT5G65670,,regulates,AT3G05936,,4hr,TF-Abundance,,,0.599898907
AT5G65670,,regulates,AT3G20430,,4hr,TF-Abundance,,,0.639912225
AT5G65670,,regulates,AT4G03415,,4hr,TF-Abundance,,,0.600494295
AT5G65670,,regulates,AT4G04880,,4hr,TF-Abundance,,,0.590694834
AT5G65670,,regulates,AT5G19770,,4hr,TF-Abundance,,,0.622645771
AT5G65670,,regulates,AT5G41060,,4hr,TF-Abundance,,,0.683185414
AT5G65670,,regulates,AT5G55920,,4hr,TF-Abundance,,,0.604539069
AT5G67190,,regulates,AT1G29670,,4hr,TF-Abundance,,,0.797578565
AT5G67190,,regulates,AT1G67030,,4hr,TF-Abundance,,,0.70816464
AT5G67190,,regulates,AT2G33060,,4hr,TF-Abundance,,,0.737552534
AT5G67190,,regulates,AT3G16500,,4hr,TF-Abundance,,,0.952210556
AT5G67190,,regulates,AT5G05170,,4hr,TF-Abundance,,,0.73958944
AT5G67450,,regulates,AT3G14940,,4hr,TF-Abundance,,,0.624172558
AT5G67450,,regulates,AT3G24240,,4hr,TF-Abundance,,,0.555458323
AT5G67450,,regulates,AT4G18700,,4hr,TF-Abundance,,,0.589254072
AT1G03800,,regulates,AT1G07950,,8hr,TF-Abundance,,,0.553320827
AT1G03800,,regulates,AT1G64040,,8hr,TF-Abundance,,,0.612599269
AT1G03800,,regulates,AT1G70830,,8hr,TF-Abundance,,,0.62792519
AT1G03970,,regulates,AT1G15720,,8hr,TF-Abundance,,,0.721279544
AT1G03970,,regulates,AT1G49300,,8hr,TF-Abundance,,,0.691087168
AT1G03970,,regulates,AT1G51430,,8hr,TF-Abundance,,,0.761898509
AT1G03970,,regulates,AT1G69220,,8hr,TF-Abundance,,,0.65614334
AT1G03970,,regulates,AT1G70890,,8hr,TF-Abundance,,,0.721574509
AT1G03970,,regulates,AT1G76070,,8hr,TF-Abundance,,,0.853826995
AT1G03970,,regulates,AT2G17300,,8hr,TF-Abundance,,,0.681220471
AT1G03970,,regulates,AT2G36670,,8hr,TF-Abundance,,,0.720751313
AT1G03970,,regulates,AT3G11490,,8hr,TF-Abundance,,,0.765167684
AT1G03970,,regulates,AT3G13440,,8hr,TF-Abundance,,,0.837294856
AT1G03970,,regulates,AT3G14010,,8hr,TF-Abundance,,,0.664195143
AT1G03970,,regulates,AT3G28690,,8hr,TF-Abundance,,,1
AT1G03970,,regulates,AT3G28940,,8hr,TF-Abundance,,,0.851309971
AT1G03970,,regulates,AT4G14770,,8hr,TF-Abundance,,,0.648262952
AT1G03970,,regulates,AT5G13330,,8hr,TF-Abundance,,,0.742539422
AT1G03970,,regulates,AT5G20730,,8hr,TF-Abundance,,,0.859840319
AT1G03970,,regulates,AT5G65920,,8hr,TF-Abundance,,,0.744494349
AT1G04240,,regulates,AT1G07135,,8hr,TF-Abundance,,,0.865344042
AT1G04240,,regulates,AT1G20330,,8hr,TF-Abundance,,,0.798036794
AT1G04240,,regulates,AT1G21070,,8hr,TF-Abundance,,,0.797927853
AT1G04240,,regulates,AT1G26945,,8hr,TF-Abundance,,,0.838465328
AT1G04240,,regulates,AT1G29440,,8hr,TF-Abundance,,,0.85006878
AT1G04240,,regulates,AT1G31130,,8hr,TF-Abundance,,,0.841138201
AT1G04240,,regulates,AT1G33811,,8hr,TF-Abundance,,,0.821355987
AT1G04240,,regulates,AT1G51700,,8hr,TF-Abundance,,,0.545016432
AT1G04240,,regulates,AT1G66160,,8hr,TF-Abundance,,,0.825865822
AT1G04240,,regulates,AT1G69490,,8hr,TF-Abundance,,,0.682862807
AT1G04240,,regulates,AT2G24790,,8hr,TF-Abundance,,,0.82853191
AT1G04240,,regulates,AT2G28950,,8hr,TF-Abundance,,,0.873296831
AT1G04240,,regulates,AT2G38760,,8hr,TF-Abundance,,,0.850844112
AT1G04240,,regulates,AT2G47440,,8hr,TF-Abundance,,,0.87929035
AT1G04240,,regulates,AT3G15530,,8hr,TF-Abundance,,,0.845348724
AT1G04240,,regulates,AT3G15650,,8hr,TF-Abundance,,,0.831542938
AT1G04240,,regulates,AT3G19290,,8hr,TF-Abundance,,,0.69990788
AT1G04240,,regulates,AT3G23730,,8hr,TF-Abundance,,,0.821966871
AT1G04240,,regulates,AT3G25600,,8hr,TF-Abundance,,,0.858872359
AT1G04240,,regulates,AT3G27650,,8hr,TF-Abundance,,,0.621575485
AT1G04240,,regulates,AT3G50890,,8hr,TF-Abundance,,,0.84330843
AT1G04240,,regulates,AT3G61640,,8hr,TF-Abundance,,,0.827537593
AT1G04240,,regulates,AT4G04570,,8hr,TF-Abundance,,,0.832744788
