"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"3.474618759139336","9.331852034295517","0.2878013587446642","0.014736842105263158","7","84","16","false","IAA29","15.223684210526315","68","8","false","0","AT4G32280","1225837372"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","AT4G32920","25.333333333333332","0","0","false","0","AT4G32920","0"
"5.70252767913098","0.15024472700081284","0.17536083229540625","0.16666666666666666","9","6","2","false","AT5G06110","14.833333333333334","4","0","false","0","AT5G06110","17434799"
"6.662627950699812","0.0331581833798496","0.15009092619301437","0.017857142857142856","10","8","5","false","TCP10","19.25","3","0","false","0","AT2G31070","4039487"
"4.771673281804889","0.41513994886881","0.20957009018474737","0.08333333333333333","8","12","2","false","AL3","10.583333333333334","10","0","false","0","AT3G42790","50791925"
"5.331731773553374","1.6665814346481462","0.18755632174901068","0.03636363636363636","9","11","5","false","GT-2","14.181818181818182","6","0","false","0","AT1G76890","176254421"
"0.0","0.0","0.0","0.05357142857142857","0","8","8","false","WAKL2","30.0","0","0","false","0","AT1G16130","0"
"4.294547733444746","0.787258554835111","0.2328533904076272","0.021337126600284494","7","40","4","false","REIL2","12.18421052631579","36","2","false","0","AT2G24500","99664375"
"0.0","0.0","0.0","0.0","0","1","1","false","AT1G48100","38.0","0","0","false","0","AT1G48100","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","SQE1","49.0","0","0","false","0","AT1G58440","0"
"0.0","0.0","0.0","1.0","0","2","2","false","AT2G24420","62.5","0","0","false","0","AT2G24420","0"
"0.0","0.0","0.0","0.16666666666666666","0","4","4","false","LPD1","62.75","0","0","false","0","AT3G16950","0"
"0.0","0.0","0.0","0.2727272727272727","0","12","12","false","AT3G23170","69.75","0","0","false","0","AT3G23170","0"
"0.0","0.0","0.0","0.11904761904761904","0","7","7","false","MEE47","52.857142857142854","0","0","false","0","AT4G00950","0"
"0.0","0.0","0.0","1.0","0","2","2","false","AT4G25730","62.5","0","0","false","0","AT4G25730","0"
"0.0","0.0","0.0","0.0","0","1","1","false","RPN10","38.0","0","0","false","0","AT4G38630","0"
"0.0","0.0","0.0","1.0","0","2","2","false","AT5G22690","62.5","0","0","false","0","AT5G22690","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","PAE11","57.666666666666664","0","0","false","0","AT5G45280","0"
"5.377898475036558","1.9614061959593416","0.18594623990055933","0.014634146341463415","9","41","10","false","RAV1","10.414634146341463","31","0","false","0","AT1G13260","195327920"
"0.0","0.0","0.0","0.2","0","5","5","false","CYP706A2","30.0","0","0","false","0","AT4G22710","0"
"0.0","0.0","0.0","0.0","0","5","5","false","ABIL1","35.4","0","0","false","0","AT2G46225","0"
"4.118863588886568","0.4732632219016842","0.242785413602475","0.05228758169934641","7","18","1","false","NFYB8","18.72222222222222","17","0","false","0","AT2G37060","43795204"
"0.0","0.0","0.0","0.5","0","2","2","false","GRXS11","61.5","0","0","false","0","AT1G06830","0"
"0.0","0.0","0.0","0.1","0","5","5","false","AT1G07135","50.0","0","0","false","0","AT1G07135","0"
"0.0","0.0","0.0","0.0","0","2","2","false","CAD1","90.5","0","0","false","0","AT1G29690","0"
"0.0","0.0","0.0","0.14285714285714285","0","8","8","false","PUB20","58.375","0","0","false","0","AT1G66160","0"
"0.0","0.0","0.0","0.5","0","2","2","false","AT2G32210","16.5","0","0","false","0","AT2G32210","0"
"0.0","0.0","0.0","0.15","0","5","5","false","AT2G47060","58.8","0","0","false","0","AT2G47060","0"
"0.0","0.0","0.0","0.16666666666666666","0","4","4","false","AT3G15650","51.5","0","0","false","0","AT3G15650","0"
"5.089826613745561","0.2457644960552081","0.19647034680894726","0.02857142857142857","8","16","2","false","GATA17","5.8","14","1","false","0","AT3G16870","18829022"
"0.0","0.0","0.0","0.2","0","5","5","false","AGP20","53.0","0","0","false","0","AT3G61640","0"
"0.0","0.0","0.0","0.3","0","6","6","false","XTH23","58.833333333333336","0","0","false","0","AT4G25810","0"
"0.0","0.0","0.0","0.45","0","5","5","false","CBP60F","69.0","0","0","false","0","AT4G31000","0"
"0.0","0.0","0.0","0.0","0","1","1","false","RPS6","18.0","0","0","false","0","AT5G46470","0"
"4.464173804052643","0.3207177754629169","0.22400561534861954","0.03409090909090909","8","34","5","false","BHLH137","20.666666666666668","29","1","false","0","AT5G50915","37532017"
"0.0","0.0","0.0","0.0","0","2","2","false","AT5","14.0","0","0","false","0","AT5G55340","0"
"1.8181818181818181","0.0","0.55","0.0","2","2","0","false","NF-YB1","7.0","2","0","false","0","AT2G38880","0"
"0.0","0.0","0.0","0.0","0","3","3","false","AT1G09390","13.666666666666666","0","0","false","0","AT1G09390","0"
"5.317317735533737","0.5742475444049832","0.18806474424451952","0.08888888888888889","8","10","7","false","AT2G41900","41.6","3","0","false","0","AT2G41900","69552412"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","BGLU15","17.0","0","0","false","0","AT2G44450","0"
"4.318988928347608","3.2619536346355225","0.23153567110036277","0.02766798418972332","7","23","6","false","SCL30","14.130434782608695","17","0","false","0","AT3G46600","327889223"
"5.247336536452893","0.8426624947482427","0.1905728731239301","0.03333333333333333","8","6","2","false","AtTLP3","16.666666666666668","4","0","false","0","AT2G47900","87523492"
"0.0","0.0","0.0","0.0","0","2","2","false","CP33","25.0","0","0","false","0","AT3G52380","0"
"4.748955722639933","0.0","0.2105726097282083","0.11904761904761904","8","7","0","false","SSRP1","13.857142857142858","7","0","false","0","AT3G28730","0"
"0.0","0.0","0.0","0.0","0","1","1","false","AT1G53430","47.0","0","0","false","0","AT1G53430","0"
"0.0","0.0","0.0","0.5","0","2","2","false","RPL24","31.0","0","0","false","0","AT5G54600","0"
"0.0","0.0","0.0","0.0","0","1","1","false","AT1G26220","15.0","0","0","false","0","AT1G26220","0"
