GeneID,dataset
AT1G15360,GTL1_targets
AT1G15370,GTL1_targets
AT1G15380,GTL1_targets
AT1G15410,GTL1_targets
AT1G15440,GTL1_targets
AT1G15470,GTL1_targets
AT1G15500,GTL1_targets
AT1G15540,GTL1_targets
AT1G15530,GTL1_targets
AT1G15570,GTL1_targets
AT1G15590,GTL1_targets
AT1G15630,GTL1_targets
AT1G15640,GTL1_targets
AT1G15670,GTL1_targets
AT1G15690,GTL1_targets
AT1G15750,GTL1_targets
AT1G15760,GTL1_targets
AT1G15810,GTL1_targets
AT1G15830,GTL1_targets
AT1G15860,GTL1_targets
AT1G15885,GTL1_targets
AT1G15890,GTL1_targets
AT1G15920,GTL1_targets
AT1G15930,GTL1_targets
AT1G15950,GTL1_targets
AT1G15980,GTL1_targets
AT1G16020,GTL1_targets
AT1G16120,GTL1_targets
AT1G16160,GTL1_targets
AT1G16180,GTL1_targets
AT1G16190,GTL1_targets
AT1G16430,GTL1_targets
AT1G16520,GTL1_targets
AT1G16670,GTL1_targets
AT1G16710,GTL1_targets
AT1G16790,GTL1_targets
AT1G16860,GTL1_targets
AT1G16870,GTL1_targets
AT1G16930,GTL1_targets
AT1G16960,GTL1_targets
AT1G17100,GTL1_targets
AT1G17140,GTL1_targets
AT1G17150,GTL1_targets
AT1G17180,GTL1_targets
AT1G17190,GTL1_targets
AT1G17200,GTL1_targets
AT1G17290,GTL1_targets
AT1G17330,GTL1_targets
AT1G17340,GTL1_targets
AT1G17360,GTL1_targets
AT1G17370,GTL1_targets
AT1G17400,GTL1_targets
AT1G17455,GTL1_targets
AT1G17490,GTL1_targets
AT1G17500,GTL1_targets
AT1G17570,GTL1_targets
AT1G17620,GTL1_targets
AT1G17710,GTL1_targets
AT1G17730,GTL1_targets
AT1G17720,GTL1_targets
AT1G17750,GTL1_targets
AT1G17820,GTL1_targets
AT1G17840,GTL1_targets
AT1G17860,GTL1_targets
AT1G17950,GTL1_targets
AT1G18075,GTL1_targets
AT1G18080,GTL1_targets
AT1G18160,GTL1_targets
AT1G18200,GTL1_targets
AT1G18290,GTL1_targets
AT1G18300,GTL1_targets
